"LANGUAGE","Español","Language name (in native language)."
"MOD_NAME","Building Control","Mod name, used for in-game UI."
"MOD_DESCRIPTION","Anarquía de edficios y otras funciones","Mod description, visibile in content manager."
"PLACEMENT","Modo de colocación","Dropdown menu label in control panel"
"SURFACE","Textura de superficie","Dropdown menu label in control panel"
"FLATTEN","Aplanamiento de terrenos","Dropdown menu label in control panel"
"DEFAULT","Asset por defecto","Placement mode menu item"
"ROADSIDE","Al lado del camino","Placement mode menu item"
"SHORE","Línea de costa (Orilla)","Placement mode menu item"
"ONWATER","Sobre el agua","Placement mode menu item"
"ONGROUND","Sobre la tierra","Placement mode menu item"
"ONSURFACE","Pilar","Placement mode menu item"
"ONTERRAIN","Tierra o agua","Placement mode menu item"
"SHORE_GROUND","Línea de costa o tierra","Placement mode menu item"
"PATH_GROUND","Al lado del camino o tierra","Placement mode menu item"
"CONCORSE","Pasillos aeroportuarios","Placement mode menu item"
"NO_SURFACE","Sin textura","Surface texture override menu item"
"GRAVEL","Grava","Surface texture override menu item"
"PAVEMENT","Pavimento","Surface texture override menu item"
"FLATTEN_OFF","Sin aplanar","Terrain flattening override menu item"
"FLATTEN_BUILDING","Aplanar la base del edificio","Terrain flattening override menu item"
"FLATTEN_ALL","Aplanar todo el bloque","Terrain flattening override menu item"
"RESET_POS","Restablecer posición del botón","Button in options panel."
