"LANGUAGE","Українська","Language name (in native language)."
"MOD_NAME","Building Control","Mod name, used for in-game UI."
"MOD_DESCRIPTION","Анархія будівель та інші функції","Mod description, visibile in content manager."
"PLACEMENT","Спосіб розміщення","Dropdown menu label in control panel"
"SURFACE","Поверхнева текстура","Dropdown menu label in control panel"
"FLATTEN","Вирівнювання рельєфу","Dropdown menu label in control panel"
"DEFAULT","Стандарт","Placement mode menu item"
"ROADSIDE","Узбіччя","Placement mode menu item"
"SHORE","Берегова лінія","Placement mode menu item"
"ONWATER","На воді","Placement mode menu item"
"ONGROUND","На землі","Placement mode menu item"
"ONSURFACE","Колона","Placement mode menu item"
"ONTERRAIN","Земля або вода","Placement mode menu item"
"SHORE_GROUND","Берегова лінія або земля","Placement mode menu item"
"PATH_GROUND","Узбіччя або земля","Placement mode menu item"
"CONCORSE","Термінал аеропорту","Placement mode menu item"
"NO_SURFACE","Без текстури","Surface texture override menu item"
"GRAVEL","Гравій","Surface texture override menu item"
"PAVEMENT","Тротуар","Surface texture override menu item"
"FLATTEN_OFF","Без вирівнювання","Terrain flattening override menu item"
"FLATTEN_BUILDING","Вирівняти фундамент будівлі","Terrain flattening override menu item"
"FLATTEN_ALL","Вирівняти увесь блок","Terrain flattening override menu item"
"RESET_POS","Скинути розташування кнопки","Button in options panel."
